Branch,pdate,BILLDATE,Nominal,days_late,kolektibilitas
4,2018-05-28,2018-05-28,-4801000.0,0,0
4,2018-05-28,2018-02-20,4801000.0,-97,2
4,2018-05-28,2018-05-28,-4801000.0,0,0
4,2018-05-28,2018-02-20,13387000.0,-97,2
11,2017-06-04,2017-05-29,2688700.0,-6,1
11,2017-05-31,2016-11-30,200386375.0,-182,4
11,2017-05-31,2016-11-30,242378477.0,-182,4
10,2017-05-31,2017-01-31,616396.0,-120,2
4,2018-05-28,2018-05-28,-7186000.0,0,0
4,2018-05-28,2018-02-20,4801000.0,-97,2
10,2018-05-25,2018-05-21,2299840.0,-4,1
3,2018-05-19,2018-04-30,678477.0,-19,1
11,2018-05-17,2018-06-08,3767000.0,22,0
4,2017-05-22,2017-05-05,3257000.0,-17,1
12,2017-02-03,2017-01-18,2680300.0,-16,1
10,2018-05-17,2018-05-30,5383900.0,13,0
10,2018-05-17,2018-05-04,377950.0,-13,1
3,2018-05-09,2018-03-01,4396500.0,-69,1
3,2018-05-09,2018-05-08,-217975.0,-1,1
3,2018-05-12,2018-05-08,3373520.0,-4,1
5,2018-05-08,2018-04-30,3590400.0,-8,1
10,2018-05-07,2018-04-24,-681427.0,-13,1
18,2018-05-03,2018-04-24,179740.0,-9,1
18,2018-05-03,2018-04-24,3723312.0,-9,1
9,2018-04-23,2017-12-04,20010197.0,-140,3
9,2018-04-23,2017-12-04,20010197.0,-140,3
11,2018-03-19,2018-03-28,4346800.0,9,0
3,2017-05-10,2017-03-27,1413400.0,-44,1
6,2017-04-11,2017-03-09,9618200.0,-33,1
6,2017-04-10,2017-04-05,-3889188.0,-5,1
6,2017-04-10,2017-03-31,3889188.0,-10,1
3,2017-03-29,2016-08-29,8465200.0,-212,4
3,2017-03-29,2016-09-22,-766500.0,-188,4
3,2018-02-08,2018-02-28,23962900.0,20,0
7,2018-02-07,2017-08-25,3377000.0,-166,3
7,2018-02-07,2018-01-08,-350438.0,-30,1
7,2018-02-07,2017-12-19,3049938.0,-50,1
7,2018-02-07,2018-01-29,2787375.0,-9,1
3,2018-02-08,2018-01-11,235000.0,-28,1
3,2018-02-08,2018-01-11,173800.0,-28,1
7,2018-02-07,2017-04-01,3229750.0,-312,4
7,2018-02-07,2018-02-05,21464500.0,-2,1
7,2018-02-07,2017-08-20,4105650.0,-171,3
17,2018-03-14,2018-03-07,45292000.0,-7,1
2,2018-02-08,2017-12-06,3240600.0,-64,1
2,2018-02-08,2017-12-06,5142900.0,-64,1
2,2018-02-08,2017-12-06,3148596.0,-64,1
2,2018-02-08,2018-01-18,3446725.0,-21,1
